mode,seed,file,episodes,steps,num_uavs,arrival,avg_active_tasks,avg_feasible_edges,avg_ready_tasks,avg_score_edge_count,dag_avg_completion_time,dag_avg_on_time_completion_time,dag_avg_tardiness,dag_critical_path_avg_completion_time,dag_critical_path_avg_tardiness,dag_critical_path_drop_rate,dag_critical_path_dropped_tasks,dag_critical_path_finish_rate,dag_critical_path_finished_tasks,dag_critical_path_on_time_finished_tasks,dag_critical_path_on_time_rate,dag_critical_path_tasks,dag_dropped_tasks,dag_failed_jobs,dag_failure_penalty,dag_failure_rate,dag_finished_tasks,dag_generated_tasks,dag_high_risk_avg_completion_time,dag_high_risk_failed_jobs,dag_high_risk_failure_rate,dag_high_risk_incomplete_jobs,dag_high_risk_jobs,dag_high_risk_on_time_success_rate,dag_high_risk_on_time_successful_jobs,dag_high_risk_success_rate,dag_high_risk_successful_jobs,dag_incomplete_jobs,dag_incomplete_rate,dag_max_tardiness,dag_on_time_bonus,dag_on_time_finished_tasks,dag_on_time_success_rate,dag_on_time_successful_jobs,dag_success_rate,dag_success_reward,dag_successful_jobs,dag_task_drop_rate,dag_task_finish_rate,dag_task_on_time_rate,dag_total_jobs,energy_penalty,episode_energy,episode_latency,episode_reward,fairness,fallback_selected_assignments,invalid_assignments,invalid_penalty,new_failed_jobs,new_on_time_successful_jobs,new_successful_jobs,offline_rate_mean,score_heuristic_disagreements,score_selected_assignments,task_finish_reward,task_late_penalty,avg_selective_high_risk_ratio,avg_selective_high_risk_tasks,avg_selective_normal_tasks,avg_selective_ready_tasks,avg_selective_score_edges,avg_selective_scoring_enabled
fallback,42,static_uav8_arr0050_fallback_seed42_2026-05-11.json,100,200,8,0.05,828.9993999999999,439.60885,258.96665,0.0,12.947173568266782,12.430566749824015,0.048682562635928385,12.083300059025214,0.014797752685077572,0.30380878743185735,3394.32,0.6213552428173249,6931.65,6739.8,0.9722209599339654,11161.89,3529.75,1061.54,0.0,0.6588218252527587,7658.53,12086.61,12.27834497076631,988.43,0.6818725042554591,92.13,1448.99,0.22860690376021484,330.81,0.2545786301454969,368.43,107.66,0.06682120784265995,1.280181510606364,0.0,7453.94,0.24710146261739482,397.33,0.2743569669045815,0.0,441.19,0.2917487157040967,0.6339862138310542,0.9731786553950948,1610.39,9459.46012401045,4729730.062005225,2368.9272502249232,-1608.3460099208357,0.9731786553950948,7710.35,47286.49,23643.245,1061.54,397.33,441.19,0.7971627627933333,0.0,0.0,14907.88,511.475,,,,,,
full,42,static_uav8_arr0050_full_seed42_2026-05-11.json,100,200,8,0.05,830.0446500000002,440.47734999999994,259.17069999999995,60.22665000000001,13.011775001976144,12.489397355045144,0.05149201705036578,12.106816975601635,0.015349811574445253,0.30463693441395273,3403.57,0.6206075454626748,6923.3,6730.02,0.9719754463399137,11161.89,3539.27,1065.78,0.0,0.661451136137151,7649.8,12086.61,12.35059762077509,992.21,0.6844787004944315,91.99,1448.99,0.22600556079069353,327.03,0.2520684486694041,364.79,107.56,0.06675968629034051,1.2544352937155836,0.0,7444.08,0.24434154088702326,392.88,0.2717891775725086,0.0,437.05,0.2925353858156472,0.6332648361636065,0.9729964193406302,1610.39,9442.822796943039,4721411.398471519,2372.873034243123,-1610.7202237554427,0.9729964193406302,5715.89,47334.03,23667.015,1065.78,392.88,437.05,0.7978485433872349,217.56,1988.9,14888.16,514.3,0.16535711358529132,39.889,235.3051,275.19410000000005,60.22665000000001,1.0
fallback,43,static_uav8_arr0050_fallback_seed43_2026-05-11.json,100,200,8,0.05,870.3757999999999,469.63285,272.915,0.0,13.495163751702448,12.943766819387754,0.054190522728779056,12.869797558955224,0.016570347655366805,0.3251597907711668,3633.86,0.5959021296822256,6650.8,6450.19,0.9697678557504943,11166.69,3777.34,1118.37,0.0,0.6938126031647555,7365.24,12091.9,12.821580901138283,1036.55,0.7148172627800797,93.75,1449.54,0.19657487408819818,284.54,0.22053458938759707,319.24,110.0,0.0682505513460065,1.3095631019873708,0.0,7151.71,0.21257871458610134,341.99,0.237936845489238,0.0,382.8,0.31212864443049354,0.6094167490238085,0.9709375300391194,1611.17,8180.205267092638,4090102.6335463184,2525.61467121706,-1678.3226213674113,0.9709375300391194,7422.19,50351.27,25175.635,1118.37,341.99,382.8,0.8161691050660235,0.0,0.0,14303.42,533.825,,,,,,
full,43,static_uav8_arr0050_full_seed43_2026-05-11.json,100,200,8,0.05,870.8828499999998,469.8221000000001,272.79940000000005,60.286,13.54614322953524,12.976191480869932,0.057709089016200664,12.884520091986523,0.01728203211743748,0.32581172912922507,3641.09,0.5952448421676528,6643.53,6440.73,0.9694142566151802,11166.69,3784.33,1121.85,0.0,0.6959772949991121,7358.53,12091.9,12.871911976394204,1039.93,0.717155001861581,93.57,1449.54,0.19434997080836916,281.33,0.2183202938195225,316.04,109.81,0.06813354214877884,1.3240417901574681,0.0,7142.73,0.2102570351215441,338.27,0.23588916285210895,0.0,379.51,0.3127113843270499,0.6088557285694424,0.9706131082095386,1611.17,8171.661500496472,4085830.7502482357,2527.6063198467687,-1678.7775200397177,0.9706131082095386,5513.8,50332.46,25166.23,1121.85,338.27,379.51,0.816720986089308,196.74,1904.67,14285.46,539.5,0.1588884862193865,39.8885,248.86615000000006,288.75465,60.286,1.0
fallback,44,static_uav8_arr0050_fallback_seed44_2026-05-11.json,100,200,8,0.05,992.9733500000001,552.2188000000001,316.76645,0.0,14.718960914588253,14.006947707194895,0.06466499474664805,15.269774201096807,0.028160245788725207,0.3999149990469696,4467.73,0.5098116169211109,5689.78,5433.84,0.9548751051774179,11165.93,4653.99,1262.07,0.0,0.783202057778425,6347.54,12090.73,14.041972794573438,1157.46,0.7984349750323935,94.79,1449.43,0.11955293232919585,173.11,0.13618117957045273,197.18,111.83,0.06940298936759025,1.3301301842797926,0.0,6068.34,0.1292265089505019,207.97,0.14739495285398466,0.0,237.19,0.3847140121070359,0.5252435866175901,0.9558737661538785,1611.09,6122.831645915564,3061415.8229577816,2996.8688500563494,-2087.207731673245,0.9558737661538785,6437.14,60006.59,30003.295,1262.07,207.97,237.19,0.8762591942437146,0.0,0.0,12136.68,698.0,,,,,,
full,44,static_uav8_arr0050_full_seed44_2026-05-11.json,100,200,8,0.05,993.8380000000001,553.3919000000001,317.06205,59.811850000000014,14.797996840042156,14.02932265172621,0.07160091770670272,15.29803899283198,0.028786640549346484,0.4002550376315597,4471.54,0.5094933971850897,5686.18,5425.57,0.9540358333274382,11165.93,4657.87,1263.51,0.0,0.7840976538907412,6343.99,12090.73,14.115816442131406,1158.71,0.7992927339165934,94.63,1449.43,0.11771381353290429,170.42,0.135434449320391,196.09,111.57,0.06924059595014981,1.421483856506814,0.0,6060.23,0.12747753726869035,205.14,0.14666175015910926,0.0,236.01,0.3850341997436882,0.5249536435546542,0.9551398462486712,1611.09,6112.746472377209,3056373.2361886036,3002.06723517767,-2091.1985177901765,0.9551398462486712,4760.26,60071.29,30035.645,1263.51,205.14,236.01,0.8773135396148575,105.21,1673.84,12120.46,709.4,0.1412890248626548,39.8732,292.65375,332.52695000000006,59.811850000000014,1.0
